"","chapter","linenumber","word","sentiment"
"1",1,1,"adventure","anticipation"
"2",1,1,"adventure","positive"
"3",1,1,"scandal","fear"
"4",1,1,"scandal","negative"
"5",1,1,"bohemia",NA
"6",1,5,"sherlock",NA
"7",1,5,"holmes",NA
"8",1,5,"woman",NA
"9",1,5,"seldom",NA
"10",1,5,"heard",NA
"11",1,6,"mention",NA
"12",1,6,"eyes",NA
"13",1,6,"eclipses",NA
"14",1,7,"predominates",NA
"15",1,7,"sex","anticipation"
"16",1,7,"sex","joy"
"17",1,7,"sex","positive"
"18",1,7,"sex","trust"
"19",1,8,"emotion",NA
"20",1,8,"akin","trust"
"21",1,8,"love","joy"
"22",1,8,"love","positive"
"23",1,8,"irene",NA
"24",1,8,"adler",NA
"25",1,8,"emotions",NA
"26",1,9,"abhorrent","anger"
"27",1,9,"abhorrent","disgust"
"28",1,9,"abhorrent","fear"
"29",1,9,"abhorrent","negative"
"30",1,9,"cold","negative"
"31",1,9,"precise","positive"
"32",1,10,"admirably",NA
"33",1,10,"balanced","positive"
"34",1,10,"mind",NA
"35",1,10,"perfect","anticipation"
"36",1,10,"perfect","joy"
"37",1,10,"perfect","positive"
"38",1,10,"perfect","trust"
"39",1,11,"reasoning",NA
"40",1,11,"observing",NA
"41",1,11,"machine","trust"
"42",1,11,"world",NA
"43",1,12,"lover","anticipation"
"44",1,12,"lover","joy"
"45",1,12,"lover","positive"
"46",1,12,"lover","trust"
"47",1,12,"false",NA
"48",1,12,"position",NA
"49",1,13,"spoke","negative"
"50",1,13,"softer",NA
"51",1,13,"passions",NA
"52",1,13,"save","joy"
"53",1,13,"save","positive"
"54",1,13,"save","trust"
"55",1,13,"gibe",NA
"56",1,13,"sneer","anger"
"57",1,13,"sneer","disgust"
"58",1,13,"sneer","negative"
"59",1,14,"admirable","joy"
"60",1,14,"admirable","positive"
"61",1,14,"admirable","trust"
"62",1,14,"observer",NA
"63",1,14,"excellent","joy"
"64",1,14,"excellent","positive"
"65",1,14,"excellent","trust"
"66",1,14,"drawing",NA
"67",1,15,"veil",NA
"68",1,15,"men's",NA
"69",1,15,"motives",NA
"70",1,15,"actions",NA
"71",1,15,"trained",NA
"72",1,15,"reasoner",NA
"73",1,16,"admit",NA
"74",1,16,"intrusions",NA
"75",1,16,"delicate",NA
"76",1,16,"finely",NA
"77",1,17,"adjusted",NA
"78",1,17,"temperament",NA
"79",1,17,"introduce",NA
"80",1,17,"distracting","anger"
"81",1,17,"distracting","anticipation"
"82",1,17,"distracting","negative"
"83",1,17,"factor",NA
"84",1,18,"throw",NA
"85",1,18,"doubt","fear"
"86",1,18,"doubt","negative"
"87",1,18,"doubt","sadness"
"88",1,18,"doubt","trust"
"89",1,18,"mental",NA
"90",1,18,"results",NA
"91",1,18,"grit","positive"
"92",1,18,"grit","trust"
"93",1,19,"sensitive",NA
"94",1,19,"instrument",NA
"95",1,19,"crack","negative"
"96",1,19,"power",NA
"97",1,20,"lenses",NA
"98",1,20,"disturbing",NA
"99",1,20,"strong",NA
"100",1,20,"emotion",NA
"101",1,21,"nature",NA
"102",1,21,"woman",NA
"103",1,22,"woman",NA
"104",1,22,"late","negative"
"105",1,22,"late","sadness"
"106",1,22,"irene",NA
"107",1,22,"adler",NA
"108",1,22,"dubious","fear"
"109",1,22,"dubious","negative"
"110",1,22,"dubious","trust"
"111",1,22,"questionable","disgust"
"112",1,22,"questionable","negative"
"113",1,23,"memory",NA
"114",1,25,"holmes",NA
"115",1,25,"marriage","anticipation"
"116",1,25,"marriage","joy"
"117",1,25,"marriage","positive"
"118",1,25,"marriage","trust"
"119",1,25,"drifted",NA
"120",1,26,"complete",NA
"121",1,26,"happiness","anticipation"
"122",1,26,"happiness","joy"
"123",1,26,"happiness","positive"
"124",1,27,"home",NA
"125",1,27,"centred",NA
"126",1,27,"rise",NA
"127",1,28,"master","positive"
"128",1,28,"establishment",NA
"129",1,28,"sufficient",NA
"130",1,29,"absorb",NA
"131",1,29,"attention","positive"
"132",1,29,"holmes",NA
"133",1,29,"loathed",NA
"134",1,29,"form",NA
"135",1,30,"society",NA
"136",1,30,"bohemian",NA
"137",1,30,"soul",NA
"138",1,30,"remained",NA
"139",1,30,"lodgings",NA
"140",1,31,"baker",NA
"141",1,31,"street",NA
"142",1,31,"buried","fear"
"143",1,31,"buried","negative"
"144",1,31,"buried","sadness"
"145",1,31,"books",NA
"146",1,31,"alternating",NA
"147",1,32,"week",NA
"148",1,32,"week",NA
"149",1,32,"cocaine","negative"
"150",1,32,"cocaine","sadness"
"151",1,32,"ambition","anticipation"
"152",1,32,"ambition","joy"
"153",1,32,"ambition","positive"
"154",1,32,"ambition","trust"
"155",1,32,"drowsiness","negative"
"156",1,33,"drug",NA
"157",1,33,"fierce","anger"
"158",1,33,"fierce","disgust"
"159",1,33,"fierce","fear"
"160",1,33,"fierce","negative"
"161",1,33,"energy",NA
"162",1,33,"keen",NA
"163",1,33,"nature",NA
"164",1,34,"deeply",NA
"165",1,34,"attracted",NA
"166",1,34,"study","positive"
"167",1,34,"crime","anger"
"168",1,34,"crime","negative"
"169",1,34,"occupied",NA
"170",1,35,"immense","positive"
"171",1,35,"faculties",NA
"172",1,35,"extraordinary","positive"
"173",1,35,"powers",NA
"174",1,35,"observation",NA
"175",1,36,"clues",NA
"176",1,36,"clearing",NA
"177",1,36,"mysteries",NA
"178",1,37,"abandoned","anger"
"179",1,37,"abandoned","fear"
"180",1,37,"abandoned","negative"
"181",1,37,"abandoned","sadness"
"182",1,37,"hopeless","fear"
"183",1,37,"hopeless","negative"
"184",1,37,"hopeless","sadness"
"185",1,37,"official","trust"
"186",1,37,"police","fear"
"187",1,37,"police","positive"
"188",1,37,"police","trust"
"189",1,37,"time","anticipation"
"190",1,38,"time","anticipation"
"191",1,38,"heard",NA
"192",1,38,"vague","negative"
"193",1,38,"account","trust"
"194",1,38,"doings",NA
"195",1,38,"summons","negative"
"196",1,39,"odessa",NA
"197",1,39,"trepoff",NA
"198",1,39,"murder","anger"
"199",1,39,"murder","disgust"
"200",1,39,"murder","fear"
"201",1,39,"murder","negative"
"202",1,39,"murder","sadness"
"203",1,39,"murder","surprise"
"204",1,39,"clearing",NA
"205",1,40,"singular",NA
"206",1,40,"tragedy","fear"
"207",1,40,"tragedy","negative"
"208",1,40,"tragedy","sadness"
"209",1,40,"atkinson",NA
"210",1,40,"brothers",NA
"211",1,40,"trincomalee",NA
"212",1,41,"finally","anticipation"
"213",1,41,"finally","disgust"
"214",1,41,"finally","joy"
"215",1,41,"finally","positive"
"216",1,41,"finally","surprise"
"217",1,41,"finally","trust"
"218",1,41,"mission",NA
"219",1,41,"accomplished","joy"
"220",1,41,"accomplished","positive"
"221",1,42,"delicately",NA
"222",1,42,"successfully",NA
"223",1,42,"reigning",NA
"224",1,42,"family",NA
"225",1,42,"holland",NA
"226",1,43,"signs",NA
"227",1,43,"activity",NA
"228",1,44,"shared",NA
"229",1,44,"readers",NA
"230",1,44,"daily","anticipation"
"231",1,44,"press",NA
"232",1,45,"friend","joy"
"233",1,45,"friend","positive"
"234",1,45,"friend","trust"
"235",1,45,"companion","joy"
"236",1,45,"companion","positive"
"237",1,45,"companion","trust"
"238",1,47,"night",NA
"239",1,47,"twentieth",NA
"240",1,47,"march","positive"
"241",1,47,"1888",NA
"242",1,48,"returning",NA
"243",1,48,"journey","anticipation"
"244",1,48,"journey","fear"
"245",1,48,"journey","joy"
"246",1,48,"journey","positive"
"247",1,48,"patient","anticipation"
"248",1,48,"patient","positive"
"249",1,48,"returned",NA
"250",1,49,"civil","positive"
"251",1,49,"practice","positive"
"252",1,49,"led",NA
"253",1,49,"baker",NA
"254",1,49,"street",NA
"255",1,50,"passed",NA
"256",1,50,"remembered",NA
"257",1,50,"door",NA
"258",1,51,"mind",NA
"259",1,51,"wooing",NA
"260",1,51,"dark","sadness"
"261",1,51,"incidents",NA
"262",1,52,"study","positive"
"263",1,52,"scarlet",NA
"264",1,52,"seized",NA
"265",1,52,"keen",NA
"266",1,52,"desire",NA
"267",1,52,"holmes",NA
"268",1,53,"employing",NA
"269",1,53,"extraordinary","positive"
"270",1,53,"powers",NA
"271",1,54,"brilliantly",NA
"272",1,54,"lit",NA
"273",1,54,"looked",NA
"274",1,55,"tall",NA
"275",1,55,"spare",NA
"276",1,55,"figure",NA
"277",1,55,"pass",NA
"278",1,55,"dark","sadness"
"279",1,55,"silhouette",NA
"280",1,56,"blind","negative"
"281",1,56,"pacing",NA
"282",1,56,"swiftly",NA
"283",1,56,"eagerly",NA
"284",1,56,"head",NA
"285",1,57,"sunk","disgust"
"286",1,57,"sunk","fear"
"287",1,57,"sunk","negative"
"288",1,57,"sunk","sadness"
"289",1,57,"chest",NA
"290",1,57,"hands",NA
"291",1,57,"clasped",NA
"292",1,58,"mood",NA
"293",1,58,"habit",NA
"294",1,58,"attitude",NA
"295",1,58,"manner",NA
"296",1,58,"told",NA
"297",1,59,"story",NA
"298",1,59,"risen",NA
"299",1,60,"drug",NA
"300",1,60,"created",NA
"301",1,60,"dreams",NA
"302",1,60,"hot","anger"
"303",1,60,"scent",NA
"304",1,61,"rang",NA
"305",1,61,"bell",NA
"306",1,61,"shown",NA
"307",1,61,"chamber",NA
"308",1,64,"manner",NA
"309",1,64,"effusive",NA
"310",1,64,"seldom",NA
"311",1,64,"glad","anticipation"
"312",1,64,"glad","joy"
"313",1,64,"glad","positive"
"314",1,65,"word","positive"
"315",1,65,"word","trust"
"316",1,65,"spoken",NA
"317",1,65,"kindly",NA
"318",1,66,"eye",NA
"319",1,66,"waved",NA
"320",1,66,"armchair",NA
"321",1,66,"threw",NA
"322",1,66,"cigars",NA
