"","chapter","linenumber","word","sentiment"
"1",0,3,"flatland",NA
"2",0,7,"1",NA
"3",0,9,"world",NA
"4",1,13,"section",NA
"5",1,13,"1",NA
"6",1,13,"nature",NA
"7",1,13,"flatland",NA
"8",1,16,"call",NA
"9",1,16,"world",NA
"10",1,16,"flatland",NA
"11",1,16,"call",NA
"12",1,17,"nature",NA
"13",1,17,"clearer",NA
"14",1,17,"happy","anticipation"
"15",1,17,"happy","joy"
"16",1,17,"happy","positive"
"17",1,17,"happy","trust"
"18",1,17,"readers",NA
"19",1,17,"privileged","joy"
"20",1,17,"privileged","positive"
"21",1,17,"privileged","trust"
"22",1,17,"live",NA
"23",1,18,"space",NA
"24",1,20,"imagine",NA
"25",1,20,"vast",NA
"26",1,20,"sheet",NA
"27",1,20,"paper",NA
"28",1,20,"straight",NA
"29",1,20,"lines","fear"
"30",1,20,"triangles",NA
"31",1,21,"squares",NA
"32",1,21,"pentagons",NA
"33",1,21,"hexagons",NA
"34",1,21,"figures",NA
"35",1,21,"remaining",NA
"36",1,22,"fixed","trust"
"37",1,22,"move",NA
"38",1,22,"freely","joy"
"39",1,22,"freely","positive"
"40",1,22,"freely","trust"
"41",1,22,"surface",NA
"42",1,23,"power",NA
"43",1,23,"rising","anticipation"
"44",1,23,"rising","joy"
"45",1,23,"rising","positive"
"46",1,23,"sinking",NA
"47",1,24,"shadows",NA
"48",1,24,"hard",NA
"49",1,24,"luminous",NA
"50",1,24,"edges",NA
"51",1,24,"pretty","anticipation"
"52",1,24,"pretty","joy"
"53",1,24,"pretty","positive"
"54",1,24,"pretty","trust"
"55",1,25,"correct",NA
"56",1,25,"notion","positive"
"57",1,25,"country",NA
"58",1,25,"countrymen",NA
"59",1,25,"alas",NA
"60",1,25,"ago",NA
"61",1,26,"universe",NA
"62",1,26,"mind",NA
"63",1,27,"views",NA
"64",1,29,"country",NA
"65",1,29,"perceive","positive"
"66",1,29,"perceive","trust"
"67",1,29,"impossible","negative"
"68",1,29,"impossible","sadness"
"69",1,30,"call",NA
"70",1,30,"solid","positive"
"71",1,30,"dare","anticipation"
"72",1,30,"dare","trust"
"73",1,31,"suppose",NA
"74",1,31,"distinguish",NA
"75",1,31,"sight",NA
"76",1,32,"triangles",NA
"77",1,32,"squares",NA
"78",1,32,"figures",NA
"79",1,32,"moving",NA
"80",1,33,"contrary","negative"
"81",1,34,"distinguish",NA
"82",1,34,"figure",NA
"83",1,34,"visible",NA
"84",1,35,"visible",NA
"85",1,35,"straight",NA
"86",1,35,"lines","fear"
"87",1,35,"necessity","sadness"
"88",1,36,"speedily",NA
"89",1,36,"demonstrate",NA
"90",1,38,"penny",NA
"91",1,38,"middle",NA
"92",1,38,"tables",NA
"93",1,38,"space",NA
"94",1,38,"leaning","trust"
"95",1,39,"circle",NA
"96",1,41,"drawing",NA
"97",1,41,"edge",NA
"98",1,41,"table",NA
"99",1,41,"gradually",NA
"100",1,41,"lower","negative"
"101",1,41,"lower","sadness"
"102",1,42,"eye",NA
"103",1,42,"bringing",NA
"104",1,42,"condition",NA
"105",1,43,"inhabitants",NA
"106",1,43,"flatland",NA
"107",1,43,"penny",NA
"108",1,44,"oval",NA
"109",1,44,"view",NA
"110",1,44,"eye",NA
"111",1,45,"edge",NA
"112",1,45,"table",NA
"113",1,46,"flatlander",NA
"114",1,46,"penny",NA
"115",1,46,"ceased",NA
"116",1,46,"oval",NA
"117",1,47,"straight",NA
"118",1,47,"line",NA
"119",1,49,"happen","anticipation"
"120",1,49,"treat","anger"
"121",1,49,"treat","anticipation"
"122",1,49,"treat","disgust"
"123",1,49,"treat","fear"
"124",1,49,"treat","joy"
"125",1,49,"treat","negative"
"126",1,49,"treat","positive"
"127",1,49,"treat","sadness"
"128",1,49,"treat","surprise"
"129",1,49,"treat","trust"
"130",1,50,"triangle",NA
"131",1,50,"square",NA
"132",1,50,"figure",NA
"133",1,50,"cut",NA
"134",1,50,"pasteboard",NA
"135",1,51,"eye",NA
"136",1,51,"edge",NA
"137",1,51,"table",NA
"138",1,52,"ceases",NA
"139",1,52,"figure",NA
"140",1,53,"appearance",NA
"141",1,53,"straight",NA
"142",1,53,"line",NA
"143",1,53,"equilateral",NA
"144",1,54,"triangle",NA
"145",1,54,"represents",NA
"146",1,54,"tradesman",NA
"147",1,54,"respectable","positive"
"148",1,54,"respectable","trust"
"149",1,54,"class",NA
"150",1,55,"figure",NA
"151",1,55,"1",NA
"152",1,55,"represents",NA
"153",1,55,"tradesman",NA
"154",1,56,"bending",NA
"155",1,56,"figures",NA
"156",1,56,"2",NA
"157",1,56,"3",NA
"158",1,56,"represent",NA
"159",1,56,"tradesman",NA
"160",1,57,"eye",NA
"161",1,57,"close",NA
"162",1,57,"level","positive"
"163",1,57,"level","trust"
"164",1,58,"level","positive"
"165",1,58,"level","trust"
"166",1,58,"table",NA
"167",1,58,"eye",NA
"168",1,58,"level","positive"
"169",1,58,"level","trust"
"170",1,59,"table",NA
"171",1,59,"flatland",NA
"172",1,60,"straight",NA
"173",1,60,"line",NA
"174",1,62,"spaceland",NA
"175",1,62,"heard",NA
"176",1,62,"sailors",NA
"177",1,62,"similar",NA
"178",1,63,"experiences",NA
"179",1,63,"traverse",NA
"180",1,63,"seas",NA
"181",1,63,"discern",NA
"182",1,63,"distant",NA
"183",1,64,"island",NA
"184",1,64,"coast","positive"
"185",1,64,"lying","anger"
"186",1,64,"lying","disgust"
"187",1,64,"lying","negative"
"188",1,64,"horizon","anticipation"
"189",1,64,"horizon","positive"
"190",1,64,"land","positive"
"191",1,64,"bays",NA
"192",1,65,"forelands",NA
"193",1,65,"angles",NA
"194",1,65,"extent",NA
"195",1,66,"distance",NA
"196",1,66,"sun","anticipation"
"197",1,66,"sun","joy"
"198",1,66,"sun","positive"
"199",1,66,"sun","surprise"
"200",1,66,"sun","trust"
"201",1,66,"shines",NA
"202",1,66,"bright",NA
"203",1,67,"revealing",NA
"204",1,67,"projections",NA
"205",1,67,"retirements",NA
"206",1,67,"means",NA
"207",1,67,"light",NA
"208",1,68,"shade",NA
"209",1,68,"grey",NA
"210",1,68,"unbroken","positive"
"211",1,68,"unbroken","trust"
"212",1,68,"line",NA
"213",1,68,"water",NA
"214",1,70,"triangular",NA
"215",1,71,"acquaintances",NA
"216",1,71,"flatland",NA
"217",1,71,"sun","anticipation"
"218",1,71,"sun","joy"
"219",1,71,"sun","positive"
"220",1,71,"sun","surprise"
"221",1,71,"sun","trust"
"222",1,72,"light",NA
"223",1,72,"shadows",NA
"224",1,73,"helps",NA
"225",1,73,"sight",NA
"226",1,73,"spaceland",NA
"227",1,73,"friend","joy"
"228",1,73,"friend","positive"
"229",1,73,"friend","trust"
"230",1,74,"closer",NA
"231",1,74,"line",NA
"232",1,74,"larger","disgust"
"233",1,74,"larger","surprise"
"234",1,74,"larger","trust"
"235",1,74,"leaves",NA
"236",1,75,"straight",NA
"237",1,75,"line",NA
"238",1,76,"triangle",NA
"239",1,76,"square",NA
"240",1,76,"pentagon",NA
"241",1,76,"hexagon",NA
"242",1,76,"circle",NA
"243",1,76,"straight",NA
"244",1,77,"line",NA
"245",1,79,"disadvantagous",NA
"246",1,79,"circumstances",NA
"247",1,80,"distinguish",NA
"248",1,80,"friends",NA
"249",1,80,"answer",NA
"250",1,81,"natural",NA
"251",1,81,"question","positive"
"252",1,81,"fitly",NA
"253",1,81,"easily",NA
"254",1,82,"describe",NA
"255",1,82,"inhabitants",NA
"256",1,82,"flatland",NA
"257",1,83,"defer",NA
"258",1,83,"subject","negative"
"259",1,83,"word","positive"
"260",1,83,"word","trust"
"261",1,83,"climate",NA
"262",1,83,"houses",NA
"263",1,84,"country",NA
"264",2,89,"section",NA
"265",2,89,"2",NA
"266",2,89,"climate",NA
"267",2,89,"houses",NA
"268",2,89,"flatland",NA
"269",2,92,"compass","trust"
"270",2,93,"north",NA
"271",2,93,"south",NA
"272",2,93,"east",NA
"273",2,93,"west",NA
"274",2,95,"sun","anticipation"
"275",2,95,"sun","joy"
"276",2,95,"sun","positive"
"277",2,95,"sun","surprise"
"278",2,95,"sun","trust"
"279",2,95,"heavenly","anticipation"
"280",2,95,"heavenly","joy"
"281",2,95,"heavenly","positive"
"282",2,95,"heavenly","trust"
"283",2,95,"bodies",NA
"284",2,95,"impossible","negative"
"285",2,95,"impossible","sadness"
"286",2,96,"determine",NA
"287",2,96,"north",NA
"288",2,96,"usual","positive"
"289",2,96,"usual","trust"
"290",2,96,"method",NA
"291",2,97,"law","trust"
"292",2,97,"nature",NA
"293",2,97,"constant","positive"
"294",2,97,"constant","trust"
"295",2,97,"attraction","positive"
"296",2,98,"south",NA
"297",2,98,"temperate","trust"
"298",2,98,"climates",NA
"299",2,98,"slight",NA
"300",2,99,"woman",NA
"301",2,99,"reasonable",NA
"302",2,99,"health",NA
"303",2,99,"journey","anticipation"
"304",2,99,"journey","fear"
"305",2,99,"journey","joy"
"306",2,99,"journey","positive"
"307",2,99,"furlongs",NA
"308",2,100,"northward",NA
"309",2,100,"difficulty","anger"
"310",2,100,"difficulty","fear"
"311",2,100,"difficulty","negative"
"312",2,100,"difficulty","sadness"
"313",2,100,"hampering",NA
"314",2,100,"effort","positive"
"315",2,101,"southward",NA
"316",2,101,"attraction","positive"
"317",2,101,"sufficient",NA
"318",2,101,"serve","negative"
"319",2,101,"serve","trust"
"320",2,101,"compass","trust"
"321",2,102,"earth",NA
"322",2,102,"rain",NA
"323",2,102,"falls",NA
"324",2,102,"stated",NA
"325",2,103,"intervals",NA
"326",2,103,"coming","anticipation"
"327",2,103,"north",NA
"328",2,103,"additional",NA
"329",2,103,"assistance","positive"
"330",2,104,"towns",NA
"331",2,104,"guidance","positive"
"332",2,104,"guidance","trust"
"333",2,104,"houses",NA
"334",2,105,"walls",NA
"335",2,105,"running",NA
"336",2,105,"north",NA
"337",2,105,"south",NA
"338",2,106,"roofs",NA
"339",2,106,"rain",NA
"340",2,106,"north",NA
"341",2,106,"country",NA
"342",2,107,"houses",NA
"343",2,107,"trunks",NA
"344",2,107,"trees",NA
"345",2,107,"serve","negative"
"346",2,107,"serve","trust"
"347",2,107,"sort",NA
"348",2,108,"guide","positive"
"349",2,108,"guide","trust"
"350",2,108,"altogether",NA
"351",2,108,"difficulty","anger"
"352",2,108,"difficulty","fear"
"353",2,108,"difficulty","negative"
"354",2,108,"difficulty","sadness"
"355",2,109,"expected","anticipation"
"356",2,109,"determining",NA
"357",2,109,"bearings",NA
"358",2,111,"temperate","trust"
"359",2,111,"regions",NA
"360",2,111,"southward",NA
"361",2,111,"attraction","positive"
"362",2,112,"walking",NA
"363",2,112,"perfectly",NA
"364",2,112,"desolate",NA
"365",2,112,"plain",NA
"366",2,113,"houses",NA
"367",2,113,"trees",NA
"368",2,113,"guide","positive"
"369",2,113,"guide","trust"
"370",2,114,"occasionally",NA
"371",2,114,"compelled",NA
"372",2,114,"remain",NA
"373",2,114,"stationary","negative"
"374",2,114,"hours",NA
"375",2,114,"waiting",NA
"376",2,115,"till",NA
"377",2,115,"rain",NA
"378",2,115,"continuing",NA
"379",2,115,"journey","anticipation"
"380",2,115,"journey","fear"
"381",2,115,"journey","joy"
"382",2,115,"journey","positive"
"383",2,115,"weak",NA
"384",2,115,"aged",NA
"385",2,116,"delicate",NA
"386",2,116,"females",NA
"387",2,116,"force","anger"
"388",2,116,"force","fear"
"389",2,116,"force","negative"
"390",2,116,"attraction","positive"
"391",2,116,"tells",NA
"392",2,117,"heavily","negative"
"393",2,117,"robust","positive"
"394",2,117,"male",NA
"395",2,117,"sex","anticipation"
"396",2,117,"sex","joy"
"397",2,117,"sex","positive"
"398",2,117,"sex","trust"
"399",2,118,"breeding",NA
"400",2,118,"meet",NA
"401",2,118,"lady",NA
"402",2,118,"street",NA
"403",2,119,"north",NA
"404",2,119,"means",NA
"405",2,119,"easy",NA
"406",2,119,"short",NA
"407",2,120,"notice",NA
"408",2,120,"rude",NA
"409",2,120,"health",NA
"410",2,120,"climate",NA
"411",2,121,"difficult","fear"
"412",2,121,"north",NA
"413",2,121,"south",NA
"414",2,123,"windows",NA
"415",2,123,"houses",NA
"416",2,123,"light",NA
"417",2,123,"alike",NA
"418",2,124,"homes",NA
"419",2,124,"day",NA
"420",2,124,"night",NA
"421",2,124,"equally","positive"
"422",2,124,"times",NA
"423",2,125,"days",NA
"424",2,126,"learned",NA
"425",2,126,"oft",NA
"426",2,126,"investigate","positive"
"427",2,126,"question","positive"
"428",2,127,"origin",NA
"429",2,127,"light",NA
"430",2,127,"solution","positive"
"431",2,127,"repeatedly",NA
"432",2,127,"attempted",NA
"433",2,128,"result","anticipation"
"434",2,128,"crowd",NA
"435",2,128,"lunatic","anger"
"436",2,128,"lunatic","disgust"
"437",2,128,"lunatic","fear"
"438",2,128,"lunatic","negative"
"439",2,128,"asylums",NA
"440",2,129,"solvers",NA
"441",2,129,"fruitless","negative"
"442",2,129,"fruitless","sadness"
"443",2,129,"attempts",NA
"444",2,129,"suppress","anger"
"445",2,129,"suppress","fear"
"446",2,129,"suppress","negative"
"447",2,129,"suppress","sadness"
"448",2,130,"investigations",NA
"449",2,130,"indirectly",NA
"450",2,130,"liable",NA
"451",2,130,"heavy",NA
"452",2,130,"tax","negative"
"453",2,130,"tax","sadness"
"454",2,131,"legislature","trust"
"455",2,131,"comparatively",NA
"456",2,131,"recent",NA
"457",2,131,"times",NA
"458",2,131,"absolutely",NA
"459",2,131,"prohibited","anger"
"460",2,131,"prohibited","disgust"
"461",2,131,"prohibited","fear"
"462",2,131,"prohibited","negative"
"463",2,132,"alas",NA
"464",2,132,"flatland",NA
"465",2,132,"true","joy"
"466",2,132,"true","positive"
"467",2,132,"true","trust"
"468",2,132,"solution","positive"
"469",2,133,"mysterious","anticipation"
"470",2,133,"mysterious","fear"
"471",2,133,"mysterious","surprise"
"472",2,133,"knowledge","positive"
"473",2,134,"intelligible",NA
"474",2,134,"single",NA
"475",2,134,"countrymen",NA
"476",2,134,"mocked",NA
"477",2,135,"sole",NA
"478",2,135,"possessor",NA
"479",2,135,"truths",NA
"480",2,135,"space",NA
"481",2,135,"theory","anticipation"
