"","linenumber","word","sentiment"
"1",4,"morning",NA
"2",4,"gregor",NA
"3",4,"samsa",NA
"4",4,"woke",NA
"5",4,"troubled",NA
"6",4,"dreams",NA
"7",4,"found","joy"
"8",4,"found","positive"
"9",4,"found","trust"
"10",5,"transformed",NA
"11",5,"bed",NA
"12",5,"horrible","anger"
"13",5,"horrible","disgust"
"14",5,"horrible","fear"
"15",5,"horrible","negative"
"16",5,"vermin","anger"
"17",5,"vermin","disgust"
"18",5,"vermin","fear"
"19",5,"vermin","negative"
"20",5,"lay",NA
"21",6,"armour",NA
"22",6,"lifted",NA
"23",6,"head",NA
"24",7,"brown",NA
"25",7,"belly",NA
"26",7,"slightly",NA
"27",7,"domed",NA
"28",7,"divided",NA
"29",7,"arches",NA
"30",7,"stiff","negative"
"31",8,"sections",NA
"32",8,"bedding",NA
"33",8,"cover","trust"
"34",8,"ready","anticipation"
"35",9,"slide",NA
"36",9,"moment",NA
"37",9,"legs",NA
"38",9,"pitifully",NA
"39",9,"thin",NA
"40",9,"compared",NA
"41",10,"size",NA
"42",10,"rest","positive"
"43",10,"waved",NA
"44",10,"helplessly",NA
"45",11,"looked",NA
"46",13,"happened",NA
"47",13,"dream",NA
"48",14,"proper","positive"
"49",14,"human",NA
"50",14,"lay",NA
"51",14,"peacefully",NA
"52",15,"familiar","positive"
"53",15,"familiar","trust"
"54",15,"walls",NA
"55",15,"collection",NA
"56",15,"textile",NA
"57",15,"samples",NA
"58",16,"lay",NA
"59",16,"spread",NA
"60",16,"table",NA
"61",16,"samsa",NA
"62",16,"travelling",NA
"63",16,"salesman",NA
"64",17,"hung",NA
"65",17,"picture",NA
"66",17,"recently",NA
"67",17,"cut",NA
"68",18,"illustrated",NA
"69",18,"magazine",NA
"70",18,"housed",NA
"71",18,"nice",NA
"72",18,"gilded",NA
"73",18,"frame",NA
"74",19,"lady",NA
"75",19,"fitted",NA
"76",19,"fur",NA
"77",19,"hat",NA
"78",19,"fur",NA
"79",19,"boa",NA
"80",19,"sat",NA
"81",19,"upright","positive"
"82",19,"upright","trust"
"83",20,"raising",NA
"84",20,"heavy",NA
"85",20,"fur",NA
"86",20,"muff","anger"
"87",20,"muff","disgust"
"88",20,"muff","negative"
"89",20,"covered",NA
"90",20,"lower","negative"
"91",20,"lower","sadness"
"92",20,"arm",NA
"93",21,"viewer",NA
"94",23,"gregor",NA
"95",23,"window",NA
"96",23,"dull","negative"
"97",23,"dull","sadness"
"98",23,"weather",NA
"99",24,"drops",NA
"100",24,"rain",NA
"101",24,"heard",NA
"102",24,"hitting",NA
"103",24,"pane",NA
"104",24,"feel",NA
"105",25,"sad",NA
"106",25,"sleep",NA
"107",25,"bit",NA
"108",25,"forget","negative"
"109",26,"nonsense","negative"
"110",26,"unable","negative"
"111",26,"unable","sadness"
"112",27,"sleeping",NA
"113",28,"position",NA
"114",28,"hard",NA
"115",28,"threw",NA
"116",29,"rolled",NA
"117",30,"hundred",NA
"118",30,"times",NA
"119",30,"shut",NA
"120",30,"eyes",NA
"121",31,"floundering",NA
"122",31,"legs",NA
"123",31,"stopped",NA
"124",32,"feel",NA
"125",32,"mild",NA
"126",32,"dull","negative"
"127",32,"dull","sadness"
"128",32,"pain","fear"
"129",32,"pain","negative"
"130",32,"pain","sadness"
"131",35,"god","anticipation"
"132",35,"god","fear"
"133",35,"god","joy"
"134",35,"god","positive"
"135",35,"god","trust"
"136",35,"strenuous",NA
"137",35,"career","anticipation"
"138",35,"career","positive"
"139",36,"chosen","positive"
"140",36,"travelling",NA
"141",36,"day",NA
"142",36,"day",NA
"143",36,"business",NA
"144",37,"takes",NA
"145",37,"effort","positive"
"146",37,"business",NA
"147",37,"home",NA
"148",38,"top","anticipation"
"149",38,"top","positive"
"150",38,"top","trust"
"151",38,"curse","anger"
"152",38,"curse","disgust"
"153",38,"curse","fear"
"154",38,"curse","negative"
"155",38,"curse","sadness"
"156",38,"travelling",NA
"157",38,"worries",NA
"158",39,"train",NA
"159",39,"connections",NA
"160",39,"bad","anger"
"161",39,"bad","disgust"
"162",39,"bad","fear"
"163",39,"bad","negative"
"164",39,"bad","sadness"
"165",39,"irregular","negative"
"166",39,"food","joy"
"167",39,"food","positive"
"168",39,"food","trust"
"169",39,"contact","positive"
"170",40,"people",NA
"171",40,"time","anticipation"
"172",41,"friendly","anticipation"
"173",41,"friendly","joy"
"174",41,"friendly","positive"
"175",41,"friendly","trust"
"176",41,"hell","anger"
"177",41,"hell","disgust"
"178",41,"hell","fear"
"179",41,"hell","negative"
"180",41,"hell","sadness"
"181",42,"slight",NA
"182",42,"itch",NA
"183",42,"belly",NA
"184",42,"pushed",NA
"185",42,"slowly",NA
"186",43,"headboard",NA
"187",43,"lift",NA
"188",43,"head",NA
"189",43,"found","joy"
"190",43,"found","positive"
"191",43,"found","trust"
"192",44,"itch",NA
"193",44,"covered",NA
"194",44,"lots",NA
"195",45,"white","anticipation"
"196",45,"white","joy"
"197",45,"white","positive"
"198",45,"white","trust"
"199",45,"spots",NA
"200",46,"feel",NA
"201",46,"legs",NA
"202",46,"drew",NA
"203",46,"quickly",NA
"204",47,"touched","negative"
"205",47,"overcome",NA
"206",47,"cold","negative"
"207",47,"shudder","fear"
"208",47,"shudder","negative"
"209",49,"slid",NA
"210",49,"position",NA
"211",50,"time","anticipation"
"212",50,"makes",NA
"213",50,"stupid","negative"
"214",51,"sleep",NA
"215",51,"travelling",NA
"216",51,"salesmen",NA
"217",51,"live",NA
"218",51,"life",NA
"219",51,"luxury","joy"
"220",51,"luxury","positive"
"221",52,"instance",NA
"222",52,"guest",NA
"223",52,"house",NA
"224",52,"morning",NA
"225",53,"copy","negative"
"226",53,"contract",NA
"227",53,"gentlemen",NA
"228",53,"sitting",NA
"229",54,"eating",NA
"230",54,"breakfasts",NA
"231",55,"boss",NA
"232",55,"kicked",NA
"233",55,"spot",NA
"234",56,"parents",NA
"235",57,"notice",NA
"236",57,"time","anticipation"
"237",57,"ago",NA
"238",58,"boss",NA
"239",58,"told",NA
"240",59,"feel",NA
"241",59,"fall","negative"
"242",59,"fall","sadness"
"243",60,"desk",NA
"244",60,"funny",NA
"245",60,"sort",NA
"246",60,"business",NA
"247",60,"sitting",NA
"248",61,"desk",NA
"249",61,"talking",NA
"250",61,"subordinates",NA
"251",62,"close",NA
"252",62,"boss",NA
"253",63,"hard",NA
"254",63,"hearing","fear"
"255",63,"hearing","negative"
"256",63,"hope","anticipation"
"257",63,"hope","joy"
"258",63,"hope","positive"
"259",63,"hope","surprise"
"260",63,"hope","trust"
"261",64,"money","anger"
"262",64,"money","anticipation"
"263",64,"money","joy"
"264",64,"money","positive"
"265",64,"money","surprise"
"266",64,"money","trust"
"267",64,"pay","anticipation"
"268",64,"pay","joy"
"269",64,"pay","positive"
"270",64,"pay","trust"
"271",64,"parents",NA
"272",64,"debt","negative"
"273",64,"debt","sadness"
"274",65,"suppose",NA
"275",66,"change","fear"
"276",67,"train",NA
"277",67,"leaves",NA
"278",69,"looked",NA
"279",69,"alarm","fear"
"280",69,"alarm","negative"
"281",69,"alarm","surprise"
"282",69,"clock","anticipation"
"283",69,"ticking",NA
"284",69,"chest",NA
"285",70,"drawers",NA
"286",70,"god","anticipation"
"287",70,"god","fear"
"288",70,"god","joy"
"289",70,"god","positive"
"290",70,"god","trust"
"291",70,"heaven",NA
"292",70,"half",NA
"293",70,"past",NA
"294",71,"hands",NA
"295",71,"quietly",NA
"296",71,"moving",NA
"297",71,"forwards",NA
"298",71,"half",NA
"299",72,"past",NA
"300",72,"quarter",NA
"301",72,"alarm","fear"
"302",72,"alarm","negative"
"303",72,"alarm","surprise"
"304",72,"clock","anticipation"
