"","linenumber","word","sentiment"
"1",1,"proceeds",NA
"2",1,"analysis",NA
"3",1,"power",NA
"4",2,"judging",NA
"5",2,"completely","positive"
"6",2,"synthetical",NA
"7",2,"knowledge","positive"
"8",2,"priori",NA
"9",4,"principal","positive"
"10",4,"principal","trust"
"11",4,"attend",NA
"12",4,"division",NA
"13",5,"science",NA
"14",5,"conceptions",NA
"15",5,"enter",NA
"16",6,"aught",NA
"17",6,"empirical",NA
"18",6,"words","anger"
"19",6,"words","negative"
"20",6,"knowledge","positive"
"21",6,"priori",NA
"22",7,"completely","positive"
"23",7,"pure",NA
"24",7,"principles",NA
"25",7,"fundamental","positive"
"26",7,"fundamental","trust"
"27",8,"conceptions",NA
"28",8,"morality","positive"
"29",8,"morality","trust"
"30",8,"cognitions",NA
"31",8,"priori",NA
"32",9,"belong",NA
"33",9,"transcendental","positive"
"34",9,"philosophy",NA
"35",10,"lay",NA
"36",10,"conceptions",NA
"37",10,"pain","fear"
"38",10,"pain","negative"
"39",10,"pain","sadness"
"40",10,"pleasure",NA
"41",10,"desires",NA
"42",10,"inclinations",NA
"43",11,"empirical",NA
"44",11,"origin",NA
"45",11,"foundation","positive"
"46",12,"precepts",NA
"47",12,"conception",NA
"48",12,"duty",NA
"49",12,"obstacle","anger"
"50",12,"obstacle","fear"
"51",12,"obstacle","negative"
"52",12,"obstacle","sadness"
"53",13,"overcome",NA
"54",13,"incitement",NA
"55",14,"motive","positive"
"56",14,"empirical",NA
"57",14,"conceptions",NA
"58",14,"necessarily",NA
"59",14,"enter",NA
"60",15,"construction",NA
"61",15,"system","trust"
"62",15,"pure",NA
"63",15,"morality","positive"
"64",15,"morality","trust"
"65",15,"transcendental","positive"
"66",15,"philosophy",NA
"67",16,"philosophy",NA
"68",16,"pure",NA
"69",16,"speculative","anticipation"
"70",16,"reason","positive"
"71",17,"practical",NA
"72",17,"motives",NA
"73",17,"relates",NA
"74",18,"feelings",NA
"75",18,"belong",NA
"76",18,"empirical",NA
"77",18,"sources",NA
"78",18,"cognition",NA
"79",20,"divide",NA
"80",20,"science",NA
"81",20,"universal",NA
"82",20,"view",NA
"83",21,"science",NA
"84",21,"comprehend","positive"
"85",21,"doctrine","trust"
"86",22,"elements",NA
"87",22,"doctrine","trust"
"88",22,"method",NA
"89",22,"pure",NA
"90",22,"reason","positive"
"91",23,"main","positive"
"92",23,"divisions",NA
"93",23,"subdivisions",NA
"94",23,"separate",NA
"95",24,"reasons",NA
"96",24,"particularize",NA
"97",25,"introduction",NA
"98",25,"premonition",NA
"99",26,"sources",NA
"100",26,"human",NA
"101",26,"knowledge","positive"
"102",26,"spring",NA
"103",26,"common",NA
"104",27,"unknown","anticipation"
"105",27,"unknown","fear"
"106",27,"unknown","negative"
"107",27,"root",NA
"108",27,"sense","positive"
"109",27,"understanding","positive"
"110",27,"understanding","trust"
"111",28,"objects",NA
"112",28,"faculty","positive"
"113",28,"faculty","trust"
"114",29,"sense","positive"
"115",29,"representations",NA
"116",29,"priori",NA
"117",29,"form",NA
"118",30,"conditions",NA
"119",30,"objects",NA
"120",30,"belongs",NA
"121",31,"transcendental","positive"
"122",31,"philosophy",NA
"123",31,"transcendental","positive"
"124",31,"doctrine","trust"
"125",31,"sense","positive"
"126",32,"form",NA
"127",32,"science",NA
"128",32,"elements",NA
"129",32,"conditions",NA
"130",33,"objects",NA
"131",33,"human",NA
"132",33,"knowledge","positive"
"133",33,"precede","positive"
"134",37,"transcendental","positive"
"135",37,"doctrine","trust"
"136",37,"elements",NA
"137",39,"transcendental","positive"
"138",39,"aesthetic","positive"
"139",41,"introductory",NA
"140",43,"whatsoever",NA
"141",43,"mode",NA
"142",43,"whatsoever",NA
"143",43,"means",NA
"144",43,"knowledge","positive"
"145",43,"relate",NA
"146",44,"objects",NA
"147",44,"manner",NA
"148",45,"immediately","anticipation"
"149",45,"immediately","negative"
"150",45,"immediately","positive"
"151",45,"relates",NA
"152",45,"means",NA
"153",45,"intuition","positive"
"154",45,"intuition","trust"
"155",46,"indispensable",NA
"156",46,"groundwork","positive"
"157",46,"intuition","positive"
"158",46,"intuition","trust"
"159",47,"object",NA
"160",48,"condition",NA
